Stats,,,,,,,,,
Total Exited,2037,,,,,,,,
Total Records,10000,,,,,,,,
exit ratio,20.40%,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,RowNumber,Exited,Probability,Total Select,Total Select Percent,Random Select,Random Select,Model Select,Model Select Percent
,7814,1,0.790072235,41,0.0041,8.3517,0.0041,31,1.50%
,4660,0,0.789823041,42,0.0042,8.5554,0.0042,31,1.50%
,6813,1,0.788813919,43,0.0043,8.7591,0.0043,32,1.60%
,5607,1,0.787372874,44,0.0044,8.9628,0.0044,33,1.60%
,6562,1,0.78706499,45,0.0045,9.1665,0.0045,34,1.70%
,1411,1,0.782425038,46,0.0046,9.3702,0.0046,35,1.70%
,7734,1,0.781421434,47,0.0047,9.5739,0.0047,36,1.80%
,5369,1,0.780592985,48,0.0048,9.7776,0.0048,37,1.80%
,3388,0,0.776751025,49,0.0049,9.9813,0.0049,37,1.80%
,3498,1,0.774586025,50,0.005,10.185,0.005,38,1.90%
,6277,1,0.77413977,51,0.0051,10.3887,0.0051,39,1.90%
,2521,1,0.772235171,52,0.0052,10.5924,0.0052,40,2.00%
,618,1,0.770535807,53,0.0053,10.7961,0.0053,41,2.00%
,9748,1,0.768834956,54,0.0054,10.9998,0.0054,42,2.10%
,3992,1,0.767993455,55,0.0055,11.2035,0.0055,43,2.10%
,5389,1,0.76614138,56,0.0056,11.4072,0.0056,44,2.20%
,599,1,0.765013834,57,0.0057,11.6109,0.0057,45,2.20%
,3207,1,0.764898124,58,0.0058,11.8146,0.0058,46,2.30%
,1439,1,0.764279861,59,0.0059,12.0183,0.0059,47,2.30%
,6198,1,0.759780457,60,0.006,12.222,0.006,48,2.40%
,4670,1,0.75758225,61,0.0061,12.4257,0.0061,49,2.40%
,2107,1,0.756972285,62,0.0062,12.6294,0.0062,50,2.50%
,5943,1,0.756565259,63,0.0063,12.8331,0.0063,51,2.50%
,7637,1,0.756237801,64,0.0064,13.0368,0.0064,52,2.60%
,1254,0,0.755983906,65,0.0065,13.2405,0.0065,52,2.60%
,3367,0,0.755107351,66,0.0066,13.4442,0.0066,52,2.60%
,8055,1,0.754569406,67,0.0067,13.6479,0.0067,53,2.60%
,3941,1,0.753815633,68,0.0068,13.8516,0.0068,54,2.70%
,730,1,0.752994635,69,0.0069,14.0553,0.0069,55,2.70%
,6730,1,0.75287913,70,0.007,14.259,0.007,56,2.70%
,632,1,0.750191844,71,0.0071,14.4627,0.0071,57,2.80%
,6053,0,0.748437349,72,0.0072,14.6664,0.0072,57,2.80%
,4397,0,0.748192362,73,0.0073,14.8701,0.0073,57,2.80%
,4733,1,0.747364133,74,0.0074,15.0738,0.0074,58,2.80%
,567,1,0.747082771,75,0.0075,15.2775,0.0075,59,2.90%
,8364,1,0.746204976,76,0.0076,15.4812,0.0076,60,2.90%
,9042,0,0.744630317,77,0.0077,15.6849,0.0077,60,2.90%
,777,1,0.743287849,78,0.0078,15.8886,0.0078,61,3.00%
,7437,1,0.743167146,79,0.0079,16.0923,0.0079,62,3.00%
,4644,1,0.742657357,80,0.008,16.296,0.008,63,3.10%
,7599,1,0.740475091,81,0.0081,16.4997,0.0081,64,3.10%
,7768,1,0.740292739,82,0.0082,16.7034,0.0082,65,3.20%
,1202,1,0.737744085,83,0.0083,16.9071,0.0083,66,3.20%
,8066,1,0.736917163,84,0.0084,17.1108,0.0084,67,3.30%
,9310,0,0.736463518,85,0.0085,17.3145,0.0085,67,3.30%
,6376,1,0.733818034,86,0.0086,17.5182,0.0086,68,3.30%
,7804,0,0.732303585,87,0.0087,17.7219,0.0087,68,3.30%
,3097,1,0.727901786,88,0.0088,17.9256,0.0088,69,3.40%
,372,0,0.727501356,89,0.0089,18.1293,0.0089,69,3.40%
,8299,1,0.726388518,90,0.009,18.333,0.009,70,3.40%
,3230,1,0.726252983,91,0.0091,18.5367,0.0091,71,3.50%
,5790,1,0.724857686,92,0.0092,18.7404,0.0092,72,3.50%
,2351,1,0.723814036,93,0.0093,18.9441,0.0093,73,3.60%
,9720,1,0.723719194,94,0.0094,19.1478,0.0094,74,3.60%
,1108,1,0.723354949,95,0.0095,19.3515,0.0095,75,3.70%
,529,1,0.722159244,96,0.0096,19.5552,0.0096,76,3.70%
,3390,1,0.722002818,97,0.0097,19.7589,0.0097,77,3.80%
,4500,0,0.721463417,98,0.0098,19.9626,0.0098,77,3.80%
,2496,1,0.721168197,99,0.0099,20.1663,0.0099,78,3.80%
,8218,0,0.72046733,100,0.01,20.37,0.01,78,3.80%
,1917,1,0.719576227,101,0.0101,20.5737,0.0101,79,3.90%
,8663,1,0.719541229,102,0.0102,20.7774,0.0102,80,3.90%
,9011,1,0.719410218,103,0.0103,20.9811,0.0103,81,4.00%
,2095,0,0.718189952,104,0.0104,21.1848,0.0104,81,4.00%
,2455,1,0.718095836,105,0.0105,21.3885,0.0105,82,4.00%
,2595,1,0.716860233,106,0.0106,21.5922,0.0106,83,4.10%
,9333,1,0.715830904,107,0.0107,21.7959,0.0107,84,4.10%
,3590,0,0.714337986,108,0.0108,21.9996,0.0108,84,4.10%
,7827,1,0.711090523,109,0.0109,22.2033,0.0109,85,4.20%
,4198,1,0.71044287,110,0.011,22.407,0.011,86,4.20%
,4344,1,0.710261518,111,0.0111,22.6107,0.0111,87,4.30%
,400,1,0.70846845,112,0.0112,22.8144,0.0112,88,4.30%
,857,1,0.708454261,113,0.0113,23.0181,0.0113,89,4.40%
,128,1,0.707152039,114,0.0114,23.2218,0.0114,90,4.40%
,17,1,0.707131686,115,0.0115,23.4255,0.0115,91,4.50%
,8712,0,0.707098871,116,0.0116,23.6292,0.0116,91,4.50%
,5652,0,0.706160721,117,0.0117,23.8329,0.0117,91,4.50%
,9880,1,0.706030216,118,0.0118,24.0366,0.0118,92,4.50%
,6582,1,0.70587773,119,0.0119,24.2403,0.0119,93,4.60%
,8018,0,0.705619076,120,0.012,24.444,0.012,93,4.60%
,2191,1,0.705590694,121,0.0121,24.6477,0.0121,94,4.60%
,2169,1,0.704993226,122,0.0122,24.8514,0.0122,95,4.70%
,1646,0,0.702054272,123,0.0123,25.0551,0.0123,95,4.70%
,3899,1,0.701694264,124,0.0124,25.2588,0.0124,96,4.70%
,1647,1,0.700097554,125,0.0125,25.4625,0.0125,97,4.80%
,421,1,0.699573663,126,0.0126,25.6662,0.0126,98,4.80%
,3619,1,0.699220099,127,0.0127,25.8699,0.0127,99,4.90%
,3379,0,0.69862931,128,0.0128,26.0736,0.0128,99,4.90%
,2749,1,0.698543568,129,0.0129,26.2773,0.0129,100,4.90%
,631,1,0.697808226,130,0.013,26.481,0.013,101,5.00%
,7214,1,0.697748964,131,0.0131,26.6847,0.0131,102,5.00%
,4546,0,0.697601666,132,0.0132,26.8884,0.0132,102,5.00%
,3111,1,0.694980736,133,0.0133,27.0921,0.0133,103,5.10%
,3539,1,0.694081949,134,0.0134,27.2958,0.0134,104,5.10%
,1329,1,0.693680264,135,0.0135,27.4995,0.0135,105,5.20%
,3120,1,0.6930466,136,0.0136,27.7032,0.0136,106,5.20%
,7139,1,0.69287618,137,0.0137,27.9069,0.0137,107,5.30%
,2541,1,0.692326337,138,0.0138,28.1106,0.0138,108,5.30%
,4360,0,0.692065621,139,0.0139,28.3143,0.0139,108,5.30%
,1982,0,0.69118663,140,0.014,28.518,0.014,108,5.30%
,7159,1,0.690786268,141,0.0141,28.7217,0.0141,109,5.40%
,9694,1,0.689970363,142,0.0142,28.9254,0.0142,110,5.40%
,1508,0,0.689309056,143,0.0143,29.1291,0.0143,110,5.40%
,3957,0,0.689100717,144,0.0144,29.3328,0.0144,110,5.40%
,3263,1,0.688933938,145,0.0145,29.5365,0.0145,111,5.40%
,6275,1,0.688130729,146,0.0146,29.7402,0.0146,112,5.50%
,5928,1,0.686072553,147,0.0147,29.9439,0.0147,113,5.50%
,3911,1,0.686012975,148,0.0148,30.1476,0.0148,114,5.60%
,818,1,0.685471779,149,0.0149,30.3513,0.0149,115,5.60%
,7852,1,0.685358618,150,0.015,30.555,0.015,116,5.70%
,1839,1,0.684321991,151,0.0151,30.7587,0.0151,117,5.70%
,9202,0,0.683601535,152,0.0152,30.9624,0.0152,117,5.70%
,6744,1,0.683004573,153,0.0153,31.1661,0.0153,118,5.80%
,2313,1,0.682643743,154,0.0154,31.3698,0.0154,119,5.80%
,2733,1,0.68105545,155,0.0155,31.5735,0.0155,120,5.90%
,8992,1,0.680281537,156,0.0156,31.7772,0.0156,121,5.90%
,5495,1,0.680223403,157,0.0157,31.9809,0.0157,122,6.00%
,4752,1,0.679742476,158,0.0158,32.1846,0.0158,123,6.00%
,7634,1,0.677244367,159,0.0159,32.3883,0.0159,124,6.10%
,2347,1,0.676436933,160,0.016,32.592,0.016,125,6.10%
,7160,1,0.676361304,161,0.0161,32.7957,0.0161,126,6.20%
,4524,0,0.675728053,162,0.0162,32.9994,0.0162,126,6.20%
,585,1,0.675433093,163,0.0163,33.2031,0.0163,127,6.20%
,8604,1,0.675234927,164,0.0164,33.4068,0.0164,128,6.30%
,5684,1,0.675171524,165,0.0165,33.6105,0.0165,129,6.30%
,6520,1,0.6738656,166,0.0166,33.8142,0.0166,130,6.40%
,1449,1,0.6737892,167,0.0167,34.0179,0.0167,131,6.40%
,4932,0,0.673657029,168,0.0168,34.2216,0.0168,131,6.40%
,6506,1,0.672639967,169,0.0169,34.4253,0.0169,132,6.50%
,4245,0,0.672598206,170,0.017,34.629,0.017,132,6.50%
,4265,1,0.6718898,171,0.0171,34.8327,0.0171,133,6.50%
,6832,1,0.671310273,172,0.0172,35.0364,0.0172,134,6.60%
,4154,1,0.671223078,173,0.0173,35.2401,0.0173,135,6.60%
,2576,1,0.671045143,174,0.0174,35.4438,0.0174,136,6.70%
,2704,1,0.67103525,175,0.0175,35.6475,0.0175,137,6.70%
,9072,0,0.669627712,176,0.0176,35.8512,0.0176,137,6.70%
,953,0,0.668618046,177,0.0177,36.0549,0.0177,137,6.70%
,3692,0,0.666828732,178,0.0178,36.2586,0.0178,137,6.70%
,9833,1,0.664593408,179,0.0179,36.4623,0.0179,138,6.80%
,8911,1,0.664274169,180,0.018,36.666,0.018,139,6.80%
,7004,1,0.663812872,181,0.0181,36.8697,0.0181,140,6.90%
,3594,0,0.663393479,182,0.0182,37.0734,0.0182,140,6.90%
,3463,0,0.663261256,183,0.0183,37.2771,0.0183,140,6.90%
,4002,1,0.662921935,184,0.0184,37.4808,0.0184,141,6.90%
,4564,1,0.662732663,185,0.0185,37.6845,0.0185,142,7.00%
,2761,0,0.662688918,186,0.0186,37.8882,0.0186,142,7.00%
,8624,0,0.662564896,187,0.0187,38.0919,0.0187,142,7.00%
,5702,1,0.660991389,188,0.0188,38.2956,0.0188,143,7.00%
,2273,1,0.660115382,189,0.0189,38.4993,0.0189,144,7.10%
,6212,0,0.660098758,190,0.019,38.703,0.019,144,7.10%
,1918,1,0.659401873,191,0.0191,38.9067,0.0191,145,7.10%
,3914,1,0.659233256,192,0.0192,39.1104,0.0192,146,7.20%
,7652,0,0.659010126,193,0.0193,39.3141,0.0193,146,7.20%
,1374,1,0.658993451,194,0.0194,39.5178,0.0194,147,7.20%
,180,1,0.658598997,195,0.0195,39.7215,0.0195,148,7.30%
,2773,0,0.658219639,196,0.0196,39.9252,0.0196,148,7.30%
,2482,0,0.658201987,197,0.0197,40.1289,0.0197,148,7.30%
,3939,1,0.658035331,198,0.0198,40.3326,0.0198,149,7.30%
,9312,1,0.65745185,199,0.0199,40.5363,0.0199,150,7.40%
,6900,1,0.656379972,200,0.02,40.74,0.02,151,7.40%
,8659,0,0.656118246,201,0.0201,40.9437,0.0201,151,7.40%
,2348,1,0.655480549,202,0.0202,41.1474,0.0202,152,7.50%
,7064,0,0.655131433,203,0.0203,41.3511,0.0203,152,7.50%
,6062,1,0.654619937,204,0.0204,41.5548,0.0204,153,7.50%
,6319,1,0.65453531,205,0.0205,41.7585,0.0205,154,7.60%
,8769,1,0.653945598,206,0.0206,41.9622,0.0206,155,7.60%
,7801,1,0.65376453,207,0.0207,42.1659,0.0207,156,7.70%
,2361,0,0.653760139,208,0.0208,42.3696,0.0208,156,7.70%
,4303,1,0.653019951,209,0.0209,42.5733,0.0209,157,7.70%
,8206,0,0.652969686,210,0.021,42.777,0.021,157,7.70%
,3410,1,0.652963501,211,0.0211,42.9807,0.0211,158,7.80%
,314,0,0.652726506,212,0.0212,43.1844,0.0212,158,7.80%
,4185,1,0.652560229,213,0.0213,43.3881,0.0213,159,7.80%
,410,0,0.652490309,214,0.0214,43.5918,0.0214,159,7.80%
,7489,0,0.651612617,215,0.0215,43.7955,0.0215,159,7.80%
,4319,0,0.651080556,216,0.0216,43.9992,0.0216,159,7.80%
,8551,1,0.651047079,217,0.0217,44.2029,0.0217,160,7.90%
,6358,0,0.650822276,218,0.0218,44.4066,0.0218,160,7.90%
,610,0,0.649905743,219,0.0219,44.6103,0.0219,160,7.90%
,5440,0,0.649716144,220,0.022,44.814,0.022,160,7.90%
,8966,0,0.649678682,221,0.0221,45.0177,0.0221,160,7.90%
,4143,1,0.649534937,222,0.0222,45.2214,0.0222,161,7.90%
,1115,1,0.648363193,223,0.0223,45.4251,0.0223,162,8.00%
,1492,1,0.648007093,224,0.0224,45.6288,0.0224,163,8.00%
,9219,1,0.647653137,225,0.0225,45.8325,0.0225,164,8.10%
,7303,0,0.647568216,226,0.0226,46.0362,0.0226,164,8.10%
,5511,1,0.646845418,227,0.0227,46.2399,0.0227,165,8.10%
,7040,0,0.645742904,228,0.0228,46.4436,0.0228,165,8.10%
,9821,0,0.645406242,229,0.0229,46.6473,0.0229,165,8.10%
,6814,0,0.644626547,230,0.023,46.851,0.023,165,8.10%
,1599,1,0.644513008,231,0.0231,47.0547,0.0231,166,8.10%
,671,0,0.643935001,232,0.0232,47.2584,0.0232,166,8.10%
,7145,1,0.643861017,233,0.0233,47.4621,0.0233,167,8.20%
,5406,0,0.642715429,234,0.0234,47.6658,0.0234,167,8.20%
,3255,1,0.642569343,235,0.0235,47.8695,0.0235,168,8.20%
,5130,0,0.642492443,236,0.0236,48.0732,0.0236,168,8.20%
,8099,1,0.642315759,237,0.0237,48.2769,0.0237,169,8.30%
,2778,1,0.642274984,238,0.0238,48.4806,0.0238,170,8.30%
,3669,1,0.642238494,239,0.0239,48.6843,0.0239,171,8.40%
,2341,1,0.641171862,240,0.024,48.888,0.024,172,8.40%
,5958,0,0.640804846,241,0.0241,49.0917,0.0241,172,8.40%
,4115,1,0.640348486,242,0.0242,49.2954,0.0242,173,8.50%
,9473,0,0.639851801,243,0.0243,49.4991,0.0243,173,8.50%
,7809,1,0.638574674,244,0.0244,49.7028,0.0244,174,8.50%
,735,1,0.637961298,245,0.0245,49.9065,0.0245,175,8.60%
,1506,1,0.63586349,246,0.0246,50.1102,0.0246,176,8.60%
,42,1,0.635052387,247,0.0247,50.3139,0.0247,177,8.70%
,2725,0,0.634739482,248,0.0248,50.5176,0.0248,177,8.70%
,6872,1,0.633504834,249,0.0249,50.7213,0.0249,178,8.70%
,6233,1,0.63306131,250,0.025,50.925,0.025,179,8.80%
,5300,0,0.633014463,251,0.0251,51.1287,0.0251,179,8.80%
,429,0,0.632859855,252,0.0252,51.3324,0.0252,179,8.80%
,3611,1,0.632736644,253,0.0253,51.5361,0.0253,180,8.80%
,5340,1,0.631980399,254,0.0254,51.7398,0.0254,181,8.90%
,2277,1,0.631815774,255,0.0255,51.9435,0.0255,182,8.90%
,5973,1,0.630391332,256,0.0256,52.1472,0.0256,183,9.00%
,4887,0,0.630017923,257,0.0257,52.3509,0.0257,183,9.00%
,1428,1,0.629633887,258,0.0258,52.5546,0.0258,184,9.00%
,3557,1,0.629490776,259,0.0259,52.7583,0.0259,185,9.10%
,3560,1,0.629466443,260,0.026,52.962,0.026,186,9.10%
,7280,0,0.629374808,261,0.0261,53.1657,0.0261,186,9.10%
,4871,1,0.628316477,262,0.0262,53.3694,0.0262,187,9.20%
,7099,1,0.628127832,263,0.0263,53.5731,0.0263,188,9.20%
,451,0,0.628026355,264,0.0264,53.7768,0.0264,188,9.20%
,2155,1,0.627577045,265,0.0265,53.9805,0.0265,189,9.30%
,943,1,0.627355131,266,0.0266,54.1842,0.0266,190,9.30%
,4850,0,0.626176429,267,0.0267,54.3879,0.0267,190,9.30%
,6100,1,0.625731486,268,0.0268,54.5916,0.0268,191,9.40%
,1463,1,0.62500133,269,0.0269,54.7953,0.0269,192,9.40%
,3886,1,0.62496429,270,0.027,54.999,0.027,193,9.50%
,9698,1,0.623651136,271,0.0271,55.2027,0.0271,194,9.50%
,3976,1,0.622952575,272,0.0272,55.4064,0.0272,195,9.60%
,9820,1,0.622237361,273,0.0273,55.6101,0.0273,196,9.60%
,6476,1,0.622173913,274,0.0274,55.8138,0.0274,197,9.70%
,4469,0,0.622123951,275,0.0275,56.0175,0.0275,197,9.70%
,3703,0,0.621916008,276,0.0276,56.2212,0.0276,197,9.70%
,6337,0,0.621911549,277,0.0277,56.4249,0.0277,197,9.70%
,5332,1,0.621875261,278,0.0278,56.6286,0.0278,198,9.70%
,2040,0,0.621849834,279,0.0279,56.8323,0.0279,198,9.70%
,6086,1,0.621639981,280,0.028,57.036,0.028,199,9.80%
,9636,1,0.62115875,281,0.0281,57.2397,0.0281,200,9.80%
,9427,1,0.62110457,282,0.0282,57.4434,0.0282,201,9.90%
,5100,1,0.620906872,283,0.0283,57.6471,0.0283,202,9.90%
,1791,0,0.620683427,284,0.0284,57.8508,0.0284,202,9.90%
,4725,0,0.62049069,285,0.0285,58.0545,0.0285,202,9.90%
,8953,1,0.620399508,286,0.0286,58.2582,0.0286,203,10.00%
,4936,0,0.619355416,287,0.0287,58.4619,0.0287,203,10.00%
,1406,1,0.6191709,288,0.0288,58.6656,0.0288,204,10.00%
,1997,1,0.618958401,289,0.0289,58.8693,0.0289,205,10.10%
,4698,1,0.618640647,290,0.029,59.073,0.029,206,10.10%
,7704,0,0.618028154,291,0.0291,59.2767,0.0291,206,10.10%
,4484,1,0.616936409,292,0.0292,59.4804,0.0292,207,10.20%
,6454,0,0.6156057,293,0.0293,59.6841,0.0293,207,10.20%
,3167,1,0.614983174,294,0.0294,59.8878,0.0294,208,10.20%
,4893,1,0.614137867,295,0.0295,60.0915,0.0295,209,10.30%
,1699,0,0.614066123,296,0.0296,60.2952,0.0296,209,10.30%
,36,1,0.613977625,297,0.0297,60.4989,0.0297,210,10.30%
,1419,0,0.61394328,298,0.0298,60.7026,0.0298,210,10.30%
,8039,0,0.613670991,299,0.0299,60.9063,0.0299,210,10.30%
,5116,1,0.613372932,300,0.03,61.11,0.03,211,10.40%
,7025,0,0.613136958,301,0.0301,61.3137,0.0301,211,10.40%
,6099,0,0.612816266,302,0.0302,61.5174,0.0302,211,10.40%
,7092,1,0.612470784,303,0.0303,61.7211,0.0303,212,10.40%
,7081,1,0.612298969,304,0.0304,61.9248,0.0304,213,10.50%
,9322,1,0.612211542,305,0.0305,62.1285,0.0305,214,10.50%
,9477,0,0.610695757,306,0.0306,62.3322,0.0306,214,10.50%
,3950,0,0.610480114,307,0.0307,62.5359,0.0307,214,10.50%
,5818,0,0.610411107,308,0.0308,62.7396,0.0308,214,10.50%
,9402,1,0.60998131,309,0.0309,62.9433,0.0309,215,10.60%
,6507,1,0.609148624,310,0.031,63.147,0.031,216,10.60%
,8059,0,0.607849955,311,0.0311,63.3507,0.0311,216,10.60%
,8643,0,0.607536811,312,0.0312,63.5544,0.0312,216,10.60%
,2345,1,0.606825388,313,0.0313,63.7581,0.0313,217,10.70%
,717,0,0.606621105,314,0.0314,63.9618,0.0314,217,10.70%
,80,0,0.606488599,315,0.0315,64.1655,0.0315,217,10.70%
,9277,1,0.606429723,316,0.0316,64.3692,0.0316,218,10.70%
,7534,1,0.60580914,317,0.0317,64.5729,0.0317,219,10.80%
,7796,0,0.605510125,318,0.0318,64.7766,0.0318,219,10.80%
,3829,0,0.605182891,319,0.0319,64.9803,0.0319,219,10.80%
,852,1,0.604646928,320,0.032,65.184,0.032,220,10.80%
,8353,1,0.603796374,321,0.0321,65.3877,0.0321,221,10.80%
,6444,0,0.602447752,322,0.0322,65.5914,0.0322,221,10.80%
,1654,1,0.601823777,323,0.0323,65.7951,0.0323,222,10.90%
,2580,1,0.601650018,324,0.0324,65.9988,0.0324,223,10.90%
,2460,1,0.601605423,325,0.0325,66.2025,0.0325,224,11.00%
,9937,0,0.600491415,326,0.0326,66.4062,0.0326,224,11.00%
,3362,0,0.600315852,327,0.0327,66.6099,0.0327,224,11.00%
,3820,1,0.599983204,328,0.0328,66.8136,0.0328,225,11.00%
,9784,0,0.599925369,329,0.0329,67.0173,0.0329,225,11.00%
,7318,1,0.598909399,330,0.033,67.221,0.033,226,11.10%
,4197,1,0.598252153,331,0.0331,67.4247,0.0331,227,11.10%
,4464,1,0.59715601,332,0.0332,67.6284,0.0332,228,11.20%
,8476,1,0.596883334,333,0.0333,67.8321,0.0333,229,11.20%
,7028,0,0.596873937,334,0.0334,68.0358,0.0334,229,11.20%
,7038,1,0.596707359,335,0.0335,68.2395,0.0335,230,11.30%
,6316,1,0.596594349,336,0.0336,68.4432,0.0336,231,11.30%
,3794,1,0.5964836,337,0.0337,68.6469,0.0337,232,11.40%
,2615,1,0.596212301,338,0.0338,68.8506,0.0338,233,11.40%
,4729,0,0.595848643,339,0.0339,69.0543,0.0339,233,11.40%
,2459,0,0.595010521,340,0.034,69.258,0.034,233,11.40%
,173,1,0.594935937,341,0.0341,69.4617,0.0341,234,11.50%
,8831,1,0.594836811,342,0.0342,69.6654,0.0342,235,11.50%
,8009,0,0.594787895,343,0.0343,69.8691,0.0343,235,11.50%
,1570,1,0.594624518,344,0.0344,70.0728,0.0344,236,11.60%
,1345,1,0.594601038,345,0.0345,70.2765,0.0345,237,11.60%
,5660,1,0.593579914,346,0.0346,70.4802,0.0346,238,11.70%
,5834,1,0.593367099,347,0.0347,70.6839,0.0347,239,11.70%
,3383,0,0.592591258,348,0.0348,70.8876,0.0348,239,11.70%
,748,0,0.592510991,349,0.0349,71.0913,0.0349,239,11.70%
,9969,0,0.592472208,350,0.035,71.295,0.035,239,11.70%
,9537,1,0.592001774,351,0.0351,71.4987,0.0351,240,11.80%
,3629,0,0.591972414,352,0.0352,71.7024,0.0352,240,11.80%
,7143,1,0.591967425,353,0.0353,71.9061,0.0353,241,11.80%
,2720,1,0.591764673,354,0.0354,72.1098,0.0354,242,11.90%
,3849,0,0.59160868,355,0.0355,72.3135,0.0355,242,11.90%
,6904,0,0.591466714,356,0.0356,72.5172,0.0356,242,11.90%
,7488,1,0.591305759,357,0.0357,72.7209,0.0357,243,11.90%
,8196,0,0.591076083,358,0.0358,72.9246,0.0358,243,11.90%
,7478,1,0.590599685,359,0.0359,73.1283,0.0359,244,12.00%
,2439,1,0.590556876,360,0.036,73.332,0.036,245,12.00%
,6613,0,0.590430442,361,0.0361,73.5357,0.0361,245,12.00%
,5443,1,0.589649431,362,0.0362,73.7394,0.0362,246,12.10%
,4029,0,0.58943056,363,0.0363,73.9431,0.0363,246,12.10%
,4840,1,0.588881917,364,0.0364,74.1468,0.0364,247,12.10%
,922,1,0.588747068,365,0.0365,74.3505,0.0365,248,12.20%
,770,1,0.588727328,366,0.0366,74.5542,0.0366,249,12.20%
,2770,1,0.588470966,367,0.0367,74.7579,0.0367,250,12.30%
,4852,0,0.588279792,368,0.0368,74.9616,0.0368,250,12.30%
,6047,0,0.588145322,369,0.0369,75.1653,0.0369,250,12.30%
,4951,0,0.587614512,370,0.037,75.369,0.037,250,12.30%
,1934,0,0.587551645,371,0.0371,75.5727,0.0371,250,12.30%
,3551,0,0.587463541,372,0.0372,75.7764,0.0372,250,12.30%
,9895,0,0.586176023,373,0.0373,75.9801,0.0373,250,12.30%
,7910,1,0.585910443,374,0.0374,76.1838,0.0374,251,12.30%
,7089,1,0.585281395,375,0.0375,76.3875,0.0375,252,12.40%
,9479,1,0.585078122,376,0.0376,76.5912,0.0376,253,12.40%
,2056,0,0.5849324,377,0.0377,76.7949,0.0377,253,12.40%
,1123,1,0.583076343,378,0.0378,76.9986,0.0378,254,12.50%
,8104,1,0.582959417,379,0.0379,77.2023,0.0379,255,12.50%
,8993,0,0.582875049,380,0.038,77.406,0.038,255,12.50%
,3075,1,0.582872868,381,0.0381,77.6097,0.0381,256,12.60%
,2109,0,0.58213766,382,0.0382,77.8134,0.0382,256,12.60%
,9589,0,0.58184555,383,0.0383,78.0171,0.0383,256,12.60%
,433,0,0.581845353,384,0.0384,78.2208,0.0384,256,12.60%
